Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_32,Gemm_Hipblaslt_NT_163347,0.0211169
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_6912_32,Gemm_Hipblaslt_NT_165262,0.0251386
GemmAndBiasTunableOp_BFloat16_NT,nt_256_1152_32,Gemm_Hipblaslt_NT_79524,0.0205245
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_8192,Gemm_Hipblaslt_NT_189304,0.160925
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_4608_8192,Gemm_Hipblaslt_NT_191035,0.531555
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_3456_8192,Gemm_Hipblaslt_NT_163342,0.425711
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_2304_32,Gemm_Hipblaslt_NT_163347,0.0193401
GemmAndBiasTunableOp_BFloat16_NT,nt_4608_1152_8192,Gemm_Hipblaslt_NT_189879,0.524543
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_32_8192,Gemm_Hipblaslt_NT_189095,0.0258786
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Hipblaslt_NN_147901,0.0238086
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Hipblaslt_NN_164352,0.142515
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_1152,Gemm_Hipblaslt_NN_165503,0.0209409
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Hipblaslt_NN_193735,0.47653
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Hipblaslt_NN_193040,0.36327
GemmAndBiasTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Hipblaslt_NN_165465,0.476883
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_2304,Gemm_Hipblaslt_NN_143119,0.0191957
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_32,Gemm_Hipblaslt_NN_193876,0.0295134
GemmAndBiasTunableOp_BFloat16_TN,tn_2304_32_1152,Gemm_Hipblaslt_TN_136346,0.0201202
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_4608,Gemm_Hipblaslt_TN_226743,0.473182
GemmAndBiasTunableOp_BFloat16_TN,tn_4608_8192_1152,Gemm_Hipblaslt_TN_227916,0.483292
GemmAndBiasTunableOp_BFloat16_TN,tn_32_8192_1152,Gemm_Hipblaslt_TN_137392,0.0203493
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_1152,Gemm_Hipblaslt_TN_226501,0.135447
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_8192_1152,Gemm_Hipblaslt_TN_227846,0.370401
GemmAndBiasTunableOp_BFloat16_TN,tn_6912_32_1152,Gemm_Hipblaslt_TN_136535,0.0196746
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_1152,Gemm_Hipblaslt_TN_136191,0.0192965
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_256,Gemm_Hipblaslt_TN_136173,0.0176325
