Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_32,Gemm_Hipblaslt_NT_163347,0.0190725
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_6912_32,Gemm_Hipblaslt_NT_165262,0.0251434
GemmAndBiasTunableOp_BFloat16_NT,nt_256_1152_32,Gemm_Hipblaslt_NT_163344,0.0185857
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_8192,Gemm_Hipblaslt_NT_190109,0.16309
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_4608_8192,Gemm_Hipblaslt_NT_190539,0.533623
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_3456_8192,Gemm_Hipblaslt_NT_163343,0.433403
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_2304_32,Gemm_Hipblaslt_NT_163359,0.0180837
GemmAndBiasTunableOp_BFloat16_NT,nt_4608_1152_8192,Gemm_Hipblaslt_NT_189882,0.526357
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_32_8192,Gemm_Hipblaslt_NT_189095,0.0256142
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Hipblaslt_NN_147901,0.0238654
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Hipblaslt_NN_163089,0.146375
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_1152,Gemm_Hipblaslt_NN_165498,0.0193693
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Hipblaslt_NN_193596,0.478276
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Hipblaslt_NN_193040,0.364978
GemmAndBiasTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Hipblaslt_NN_165465,0.479342
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_2304,Gemm_Hipblaslt_NN_191695,0.0181386
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_32,Gemm_Hipblaslt_NN_193876,0.0293494
GemmAndBiasTunableOp_BFloat16_TN,tn_2304_32_1152,Gemm_Hipblaslt_TN_163413,0.0189022
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_4608,Gemm_Hipblaslt_TN_226743,0.473527
GemmAndBiasTunableOp_BFloat16_TN,tn_4608_8192_1152,Gemm_Hipblaslt_TN_227916,0.484875
GemmAndBiasTunableOp_BFloat16_TN,tn_32_8192_1152,Gemm_Hipblaslt_TN_137392,0.019867
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_1152,Gemm_Hipblaslt_TN_226501,0.13573
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_8192_1152,Gemm_Hipblaslt_TN_227846,0.368032
GemmAndBiasTunableOp_BFloat16_TN,tn_6912_32_1152,Gemm_Hipblaslt_TN_136376,0.0200818
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_1152,Gemm_Hipblaslt_TN_136188,0.019425
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_256,Gemm_Hipblaslt_TN_136175,0.0175434
