Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_32,Gemm_Hipblaslt_NT_163347,0.0200857
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_6912_32,Gemm_Hipblaslt_NT_165262,0.0250034
GemmAndBiasTunableOp_BFloat16_NT,nt_256_1152_32,Gemm_Hipblaslt_NT_163344,0.0200861
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_8192,Gemm_Hipblaslt_NT_190109,0.160257
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_4608_8192,Gemm_Hipblaslt_NT_189724,0.530275
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_3456_8192,Gemm_Hipblaslt_NT_163342,0.424729
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_2304_32,Gemm_Hipblaslt_NT_163347,0.0186029
GemmAndBiasTunableOp_BFloat16_NT,nt_4608_1152_8192,Gemm_Hipblaslt_NT_189879,0.52646
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_32_8192,Gemm_Hipblaslt_NT_189095,0.0256854
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Hipblaslt_NN_145087,0.0245606
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Hipblaslt_NN_164352,0.141869
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_1152,Gemm_Hipblaslt_NN_165486,0.0202589
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Hipblaslt_NN_193596,0.477914
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Hipblaslt_NN_193040,0.360636
GemmAndBiasTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Hipblaslt_NN_165465,0.476055
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_2304,Gemm_Hipblaslt_NN_143120,0.0187877
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_32,Gemm_Hipblaslt_NN_193876,0.0294678
GemmAndBiasTunableOp_BFloat16_TN,tn_2304_32_1152,Gemm_Hipblaslt_TN_136344,0.0196573
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_4608,Gemm_Hipblaslt_TN_226743,0.471407
GemmAndBiasTunableOp_BFloat16_TN,tn_4608_8192_1152,Gemm_Hipblaslt_TN_227916,0.4816
GemmAndBiasTunableOp_BFloat16_TN,tn_32_8192_1152,Gemm_Hipblaslt_TN_226758,0.0199361
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_1152,Gemm_Hipblaslt_TN_226501,0.135104
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_8192_1152,Gemm_Hipblaslt_TN_227846,0.369325
GemmAndBiasTunableOp_BFloat16_TN,tn_6912_32_1152,Gemm_Hipblaslt_TN_136424,0.0193666
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_1152,Gemm_Hipblaslt_TN_136373,0.0187397
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_256,Gemm_Hipblaslt_TN_136182,0.0170661
