Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_32,Gemm_Hipblaslt_NT_163346,0.0186417
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_6912_32,Gemm_Hipblaslt_NT_165262,0.0250842
GemmAndBiasTunableOp_BFloat16_NT,nt_256_1152_32,Gemm_Hipblaslt_NT_191295,0.0192529
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_8192,Gemm_Hipblaslt_NT_189304,0.163539
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_4608_8192,Gemm_Hipblaslt_NT_189882,0.533297
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_3456_8192,Gemm_Hipblaslt_NT_163342,0.430638
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_2304_32,Gemm_Hipblaslt_NT_163359,0.0177181
GemmAndBiasTunableOp_BFloat16_NT,nt_4608_1152_8192,Gemm_Hipblaslt_NT_189879,0.526028
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_32_8192,Gemm_Hipblaslt_NT_189095,0.0256706
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Hipblaslt_NN_191510,0.0244234
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Hipblaslt_NN_164352,0.1439
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_1152,Gemm_Hipblaslt_NN_165488,0.0192297
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Hipblaslt_NN_193735,0.478503
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Hipblaslt_NN_193040,0.365901
GemmAndBiasTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Hipblaslt_NN_165465,0.479517
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_2304,Gemm_Hipblaslt_NN_192290,0.0179885
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_32,Gemm_Hipblaslt_NN_193876,0.0293807
GemmAndBiasTunableOp_BFloat16_TN,tn_2304_32_1152,Gemm_Hipblaslt_TN_163439,0.0188978
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_4608,Gemm_Hipblaslt_TN_226743,0.474352
GemmAndBiasTunableOp_BFloat16_TN,tn_4608_8192_1152,Gemm_Hipblaslt_TN_227916,0.485133
GemmAndBiasTunableOp_BFloat16_TN,tn_32_8192_1152,Gemm_Hipblaslt_TN_137392,0.0198866
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_1152,Gemm_Hipblaslt_TN_226501,0.135734
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_8192_1152,Gemm_Hipblaslt_TN_227846,0.367903
GemmAndBiasTunableOp_BFloat16_TN,tn_6912_32_1152,Gemm_Hipblaslt_TN_136424,0.0202379
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_1152,Gemm_Hipblaslt_TN_136328,0.0190927
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_256,Gemm_Hipblaslt_TN_136176,0.0179758
